,final_volume_m^3,isothermal_J,adiabatic_J
0,0.1,-0.0,-0.0
1,0.10202020202020202,-49.88566290310803,-49.686644688513674
2,0.10404040404040404,-98.79311226255768,-98.01460715298606
3,0.10606060606060606,-146.75997524212912,-145.04635956176713
4,0.10808080808080808,-193.82174890494952,-190.84038117849212
5,0.11010101010101012,-240.01195802224996,-235.45148254059077
6,0.11212121212121212,-285.36229853337295,-278.9310979211524
7,0.11414141414141415,-329.9027681947069,-321.32754968646435
8,0.11616161616161617,-373.66178576632643,-362.6862876941335
9,0.1181818181818182,-416.66629992232595,-403.05010647680047
10,0.12020202020202021,-458.9418889300673,-442.45934261326505
11,0.12222222222222223,-500.512852021617,-480.9520543935777
12,0.12424242424242425,-541.4022932746645,-518.5641856299023
13,0.12626262626262627,-581.6321987279312,-555.3297152446187
14,0.1282828282828283,-621.2235073755005,-591.2807940760865
15,0.1303030303030303,-660.1961766140083,-626.4478701764423
16,0.13232323232323234,-698.5692426548138,-660.859803731154
17,0.13434343434343435,-736.3608763589377,-694.5439726037498
18,0.13636363636363638,-773.5884349047353,-727.5263693986501
19,0.1383838383838384,-810.2685096560415,-759.8316908381116
20,0.14040404040404042,-846.4169705612367,-791.4834201641885
21,0.14242424242424245,-882.0490073806063,-822.5039032016446
22,0.14444444444444446,-917.1791680100712,-852.914418651672
23,0.14646464646464646,-951.8213941432793,-882.7352431278473
24,0.1484848484848485,-985.989054490849,-911.9857113940516
25,0.15050505050505053,-1019.6949757548541,-940.6842722182344
26,0.15252525252525254,-1052.9514715381579,-968.8485402151639
27,0.15454545454545457,-1085.7703693516414,-996.495344015074
28,0.15656565656565657,-1118.1630358675643,-1023.6407710628068
29,0.1585858585858586,-1150.1404005539825,-1050.3002093232465
30,0.16060606060606064,-1181.71297781319,-1076.4883861430435
31,0.16262626262626265,-1212.8908877364001,-1102.2194044955834
32,0.16464646464646465,-1243.6838755771703,-1127.5067768154513
33,0.16666666666666669,-1274.1013300373295,-1152.3634566100877
34,0.16868686868686872,-1304.1523004512637,-1176.8018680196224
35,0.17070707070707072,-1333.8455129472522,-1200.833933480863
36,0.17272727272727273,-1363.1893856580677,-1224.4710996378521
37,0.17474747474747476,-1392.1920430471782,-1247.7243616291817
38,0.1767676767676768,-1420.8613294115466,-1270.6042858712103
39,0.17878787878787883,-1449.204821617176,-1293.1210314463342
40,0.18080808080808083,-1477.2298411191277,-1315.2843701963952
41,0.18282828282828284,-1504.9434653137182,-1337.1037056131104
42,0.18484848484848487,-1532.3525382669302,-1358.5880906099433
43,0.1868686868686869,-1559.4636808597202,-1379.7462442530655
44,0.1888888888888889,-1586.2833003878497,-1400.5865675228931
45,0.19090909090909092,-1612.8175996510577,-1421.1171581720598
46,0.19292929292929295,-1639.0725855638254,-1441.3458247405756
47,0.19494949494949498,-1665.0540773176394,-1461.2800997842435
48,0.196969696969697,-1690.767714122498,-1480.9272523681384
49,0.19898989898989902,-1716.2189625534236,-1500.294299873051
50,0.20101010101010103,-1741.4131235259106,-1519.3880191592134
51,0.20303030303030306,-1766.3553389225958,-1538.2149571283771
52,0.2050505050505051,-1791.0505978918482,-1556.7814407222745
53,0.2070707070707071,-1815.5037428375952,-1575.0935863927743
54,0.2090909090909091,-1839.7194751183652,-1593.1573090764903
55,0.21111111111111114,-1863.7023604723238,-1610.9783307042776
56,0.21313131313131317,-1887.4568341839633,-1628.5621882739204
57,0.21515151515151518,-1910.9872060070697,-1645.9142415123285
58,0.21717171717171718,-1934.2976648576341,-1663.039680151759
59,0.21919191919191922,-1957.392283289491,-1679.9435308428842
60,0.22121212121212125,-1980.2750217646385,-1696.6306637259959
61,0.22323232323232328,-2002.9497327294534,-1713.1057986802025
62,0.2252525252525253,-2025.4201645072758,-1729.373511269148
63,0.2272727272727273,-2047.6899650172195,-1745.4382384005662
64,0.22929292929292933,-2069.76268532842,-1761.3042837158498
65,0.23131313131313136,-2091.6417830583887,-1776.9758227247626
66,0.23333333333333336,-2113.330625623613,-1792.4569076994587
67,0.2353535353535354,-2134.8324933500307,-1807.7514723410645
68,0.2373737373737374,-2156.1505824505803,-1822.8633362312353
69,0.23939393939393944,-2177.2880078765743,-1837.796209080347
70,0.24141414141414144,-2198.247806049265,-1852.5536947832206
71,0.24343434343434348,-2219.0329374775893,-1867.1392952926492
72,0.24545454545454548,-2239.646289267742,-1881.5564143203292
73,0.24747474747474751,-2260.0906775298886,-1895.8083608742513
74,0.24949494949494952,-2280.3688496870473,-1909.898352641034
75,0.2515151515151516,-2300.483486690863,-1923.8295192212038
76,0.2535353535353536,-2320.437205148747,-1937.6049052249205
77,0.2555555555555556,-2340.2325593666105,-1951.2274732352485
78,0.2575757575757576,-2359.8720433111635,-1964.7001066456178
79,0.2595959595959596,-2379.358092495566,-1978.0256123777658
80,0.26161616161616164,-2398.6930857919897,-1991.206723486082
81,0.26363636363636367,-2417.8793471744543,-2004.2461016539303
82,0.2656565656565657,-2436.919147395156,-2017.1463395872304
83,0.26767676767676774,-2455.814705597286,-2029.9099633102628
84,0.26969696969696977,-2474.568190867216,-2042.5394343683997
85,0.27171717171717175,-2493.181723728771,-2055.0371519421997
86,0.2737373737373738,-2511.657377582153,-2067.405454877063
87,0.2757575757575758,-2529.9971800899566,-2079.646623632415
88,0.2777777777777778,-2548.2031145126093,-2091.7628821541657
89,0.2797979797979798,-2566.277120995416,-2103.756399674013
90,0.28181818181818186,-2584.2210978093126,-2115.629292438938
91,0.2838383838383839,-2602.036902547298,-2127.3836253740847
92,0.2858585858585859,-2619.726353278446,-2139.0214136820487
93,0.28787878787878796,-2637.291229661277,-2150.5446243814285
94,0.28989898989898993,-2654.7332740182032,-2161.9551777873603
95,0.29191919191919197,-2672.0541923726614,-2173.254948936606
96,0.29393939393939394,-2689.255655450487,-2184.4457689596447
97,0.295959595959596,-2706.3392996469893,-2195.5294264020827
98,0.297979797979798,-2723.3067279611314,-2206.5076684975843
99,0.30000000000000004,-2740.159510898156,-2217.382202394427
